[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['selena_expression1_aligned.csv', ' 0.04', ' 0.00', ' 0.00', ' 0.00', ' 0.29', ' 0.00', ' 0.37', ' 0.00', ' 1.13', ' 1.17', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.00', ' 0.74']
['selena_expression4_aligned.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.91', ' 1.53', ' 0.00', ' 1.41', ' 2.94', ' 1.22', ' 0.00', ' 0.00', ' 0.42', ' 0.00', ' 2.47', ' 0.00', ' 0.31']
['selena_expression6_aligned.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 1.79', ' 2.17', ' 1.09', ' 1.54', ' 2.93', ' 0.52', ' 0.00', ' 0.00', ' 0.37', ' 0.00', ' 0.95', ' 0.00', ' 0.18']
['selena_expression7_aligned.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.15', ' 0.00', ' 0.97', ' 0.00', ' 0.00', ' 0.16', ' 0.12', ' 0.16', ' 0.00', ' 0.34', ' 0.00', ' 0.38', ' 0.64', ' 0.94']
['selena_expression10_aligned.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.85', ' 1.01', ' 0.00', ' 0.41', ' 2.31', ' 0.95', ' 0.00', ' 0.00', ' 0.47', ' 0.00', ' 0.46', ' 0.00', ' 0.23']
