[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.45', ' 0.00', ' 0.00', ' 1.80', ' 0.73', ' 0.00', ' 0.00', ' 0.55', ' 0.04', ' 1.29', ' 0.69', ' 0.00']
['emma_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.49', ' 0.77', ' 0.00', ' 0.00', ' 1.82', ' 0.85', ' 0.00', ' 0.00', ' 0.30', ' 0.02', ' 1.28', ' 0.67', ' 0.00']
['emma_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.58', ' 0.62', ' 0.00', ' 0.00', ' 1.85', ' 0.89', ' 0.00', ' 0.00', ' 0.42', ' 0.04', ' 1.28', ' 0.66', ' 0.00']
['emma_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 0.78', ' 0.00', ' 0.00', ' 1.78', ' 0.81', ' 0.00', ' 0.00', ' 0.21', ' 0.00', ' 1.26', ' 0.52', ' 0.00']
['emma_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.84', ' 0.82', ' 0.00', ' 0.00', ' 1.81', ' 1.04', ' 0.00', ' 0.00', ' 0.11', ' 0.00', ' 1.33', ' 0.63', ' 0.00']
['emma_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.87', ' 0.94', ' 0.00', ' 0.00', ' 1.73', ' 0.94', ' 0.00', ' 0.00', ' 0.41', ' 0.00', ' 1.32', ' 0.76', ' 0.00']
['emma_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.89', ' 1.22', ' 0.00', ' 0.00', ' 1.78', ' 1.02', ' 0.00', ' 0.00', ' 0.08', ' 0.00', ' 1.25', ' 0.63', ' 0.00']
['emma_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.81', ' 1.43', ' 0.00', ' 0.00', ' 1.82', ' 0.84', ' 0.00', ' 0.00', ' 0.29', ' 0.15', ' 1.31', ' 0.61', ' 0.00']
['emma_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.84', ' 1.54', ' 0.00', ' 0.00', ' 1.74', ' 0.68', ' 0.00', ' 0.00', ' 0.29', ' 0.02', ' 1.25', ' 0.50', ' 0.00']
['emma_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.76', ' 0.75', ' 0.00', ' 0.00', ' 1.85', ' 0.86', ' 0.00', ' 0.00', ' 0.49', ' 0.04', ' 1.24', ' 0.15', ' 0.00']
