[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.46', ' 1.32', ' 0.00', ' 0.00', ' 1.57', ' 0.59', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.88', ' 0.84', ' 0.05']
['emma_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.40', ' 0.97', ' 0.00', ' 0.00', ' 1.57', ' 0.46', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.69', ' 0.61', ' 0.00']
['emma_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.54', ' 1.07', ' 0.00', ' 0.00', ' 1.48', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.64', ' 0.79', ' 0.00']
['emma_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.73', ' 1.75', ' 0.00', ' 0.00', ' 1.56', ' 0.55', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.67', ' 0.61', ' 0.00']
['emma_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.70', ' 1.62', ' 0.00', ' 0.00', ' 1.57', ' 0.33', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.58', ' 0.58', ' 0.00']
['emma_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.83', ' 1.46', ' 0.00', ' 0.00', ' 1.52', ' 0.24', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.74', ' 0.00']
['emma_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.71', ' 1.28', ' 0.00', ' 0.00', ' 1.52', ' 0.35', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.56', ' 0.80', ' 0.00']
['emma_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.71', ' 1.39', ' 0.00', ' 0.00', ' 1.38', ' 0.36', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.39', ' 0.66', ' 0.00']
['emma_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.64', ' 0.99', ' 0.00', ' 0.00', ' 1.36', ' 0.30', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.30', ' 0.54', ' 0.00']
['emma_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.74', ' 1.07', ' 0.00', ' 0.00', ' 1.36', ' 0.23', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.28', ' 0.65', ' 0.00']
['emma_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.72', ' 0.87', ' 0.00', ' 0.00', ' 1.12', ' 0.25', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.26', ' 0.86', ' 0.00']
['emma_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.85', ' 0.00', ' 0.00', ' 1.30', ' 0.91', ' 0.00', ' 0.00', ' 0.14', ' 0.19', ' 1.04', ' 0.94', ' 0.00']
['obama_0.3.csv', ' 0.00', ' 0.23', ' 0.00', ' 0.65', ' 1.58', ' 1.66', ' 0.52', ' 0.92', ' 2.24', ' 1.26', ' 0.00', ' 0.00', ' 0.20', ' 0.36', ' 1.98', ' 0.00', ' 0.14']
