[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['zac_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.40', ' 1.15', ' 0.00', ' 0.00', ' 0.83', ' 0.25', ' 0.00', ' 0.74', ' 0.00', ' 0.96', ' 0.49', ' 0.00', ' 0.33']
['zac_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.19', ' 0.49', ' 1.67', ' 0.00', ' 0.00', ' 0.78', ' 0.38', ' 0.00', ' 0.81', ' 0.00', ' 0.72', ' 0.46', ' 0.00', ' 0.43']
['zac_0.38.csv', ' 0.04', ' 0.00', ' 0.00', ' 0.00', ' 0.56', ' 1.31', ' 0.00', ' 0.00', ' 0.85', ' 0.18', ' 0.00', ' 0.68', ' 0.00', ' 0.87', ' 0.33', ' 0.28', ' 0.28']
['zac_0.4.csv', ' 0.08', ' 0.00', ' 0.00', ' 0.00', ' 0.52', ' 1.28', ' 0.00', ' 0.00', ' 0.90', ' 0.32', ' 0.00', ' 0.76', ' 0.00', ' 0.90', ' 0.42', ' 0.40', ' 0.36']
['zac_0.42.csv', ' 0.13', ' 0.00', ' 0.00', ' 0.00', ' 0.48', ' 1.31', ' 0.00', ' 0.00', ' 0.87', ' 0.17', ' 0.00', ' 0.67', ' 0.00', ' 0.91', ' 0.48', ' 0.36', ' 0.35']
['zac_0.44.csv', ' 0.20', ' 0.00', ' 0.00', ' 0.00', ' 0.48', ' 1.30', ' 0.00', ' 0.00', ' 0.87', ' 0.38', ' 0.00', ' 0.73', ' 0.00', ' 0.90', ' 0.45', ' 0.45', ' 0.46']
['zac_0.46.csv', ' 0.11', ' 0.00', ' 0.00', ' 0.00', ' 0.51', ' 1.23', ' 0.00', ' 0.00', ' 0.84', ' 0.62', ' 0.00', ' 0.62', ' 0.00', ' 0.75', ' 0.55', ' 0.52', ' 0.47']
['zac_0.48.csv', ' 0.27', ' 0.00', ' 0.00', ' 0.00', ' 0.57', ' 1.45', ' 0.00', ' 0.00', ' 0.87', ' 0.75', ' 0.00', ' 0.91', ' 0.00', ' 0.66', ' 0.52', ' 0.39', ' 0.41']
['zac_0.5.csv', ' 0.29', ' 0.00', ' 0.00', ' 0.00', ' 0.64', ' 1.23', ' 0.01', ' 0.00', ' 0.86', ' 0.88', ' 0.00', ' 0.89', ' 0.00', ' 0.71', ' 0.53', ' 0.69', ' 0.48']
['zac_mean.csv', ' 0.05', ' 0.00', ' 0.00', ' 0.00', ' 0.86', ' 1.47', ' 0.00', ' 0.00', ' 1.52', ' 0.51', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 1.10', ' 0.00', ' 0.24']
