[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 1.01', ' 0.00', ' 0.00', ' 1.88', ' 1.15', ' 0.00', ' 0.00', ' 0.32', ' 0.26', ' 1.32', ' 0.88', ' 0.00']
['emma_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 1.19', ' 0.00', ' 0.00', ' 1.87', ' 1.19', ' 0.00', ' 0.00', ' 0.31', ' 0.25', ' 1.27', ' 0.48', ' 0.00']
['emma_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.40', ' 1.35', ' 0.00', ' 0.00', ' 1.83', ' 1.15', ' 0.00', ' 0.00', ' 0.29', ' 0.34', ' 1.23', ' 0.52', ' 0.00']
['emma_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.35', ' 1.09', ' 0.00', ' 0.00', ' 1.88', ' 0.99', ' 0.00', ' 0.00', ' 0.31', ' 0.23', ' 1.26', ' 0.40', ' 0.00']
['emma_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.45', ' 1.38', ' 0.00', ' 0.00', ' 1.82', ' 1.08', ' 0.00', ' 0.00', ' 0.31', ' 0.21', ' 1.22', ' 0.49', ' 0.00']
['emma_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.38', ' 1.21', ' 0.00', ' 0.00', ' 1.77', ' 1.10', ' 0.00', ' 0.00', ' 0.35', ' 0.23', ' 1.18', ' 0.55', ' 0.00']
['emma_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.39', ' 1.08', ' 0.00', ' 0.00', ' 1.78', ' 1.23', ' 0.00', ' 0.00', ' 0.34', ' 0.31', ' 1.09', ' 0.50', ' 0.00']
['emma_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.44', ' 0.96', ' 0.00', ' 0.00', ' 1.77', ' 1.06', ' 0.00', ' 0.00', ' 0.29', ' 0.35', ' 1.06', ' 0.52', ' 0.02']
['emma_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.33', ' 0.82', ' 0.00', ' 0.00', ' 1.69', ' 0.94', ' 0.00', ' 0.00', ' 0.39', ' 0.34', ' 0.88', ' 0.33', ' 0.00']
['emma_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.38', ' 1.12', ' 0.00', ' 0.00', ' 1.54', ' 1.05', ' 0.00', ' 0.00', ' 0.37', ' 0.39', ' 0.81', ' 0.29', ' 0.00']
['emma_0.5.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.40', ' 0.99', ' 0.00', ' 0.00', ' 1.52', ' 1.05', ' 0.00', ' 0.00', ' 0.59', ' 0.34', ' 0.59', ' 0.32', ' 0.00']
['emma_mean.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.00', ' 0.03', ' 0.85', ' 0.00', ' 0.00', ' 1.30', ' 0.91', ' 0.00', ' 0.00', ' 0.14', ' 0.19', ' 1.04', ' 0.94', ' 0.00']
