[filename, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r]
['emma_0.3.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.07', ' 0.02', ' 0.82', ' 0.00', ' 0.00', ' 1.00', ' 0.84', ' 0.00', ' 0.00', ' 0.44', ' 0.17', ' 0.81', ' 0.76', ' 0.00']
['emma_0.32.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.13', ' 0.00', ' 1.10', ' 0.00', ' 0.00', ' 1.01', ' 0.92', ' 0.00', ' 0.00', ' 0.55', ' 0.17', ' 0.83', ' 0.76', ' 0.00']
['emma_0.34.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.36', ' 0.00', ' 1.28', ' 0.00', ' 0.00', ' 0.95', ' 0.87', ' 0.00', ' 0.00', ' 0.29', ' 0.15', ' 0.76', ' 0.96', ' 0.00']
['emma_0.36.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.00', ' 1.05', ' 0.00', ' 0.00', ' 0.81', ' 0.64', ' 0.00', ' 0.00', ' 0.44', ' 0.20', ' 0.76', ' 0.86', ' 0.00']
['emma_0.38.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.34', ' 0.00', ' 1.01', ' 0.00', ' 0.00', ' 0.92', ' 0.77', ' 0.00', ' 0.00', ' 0.37', ' 0.17', ' 0.77', ' 0.91', ' 0.00']
['emma_0.4.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.16', ' 0.00', ' 1.03', ' 0.00', ' 0.00', ' 0.81', ' 0.51', ' 0.00', ' 0.00', ' 0.41', ' 0.10', ' 0.58', ' 0.98', ' 0.00']
['emma_0.42.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.39', ' 0.00', ' 0.94', ' 0.00', ' 0.00', ' 0.71', ' 0.62', ' 0.00', ' 0.00', ' 0.36', ' 0.14', ' 0.51', ' 0.90', ' 0.00']
['emma_0.44.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.47', ' 0.00', ' 0.78', ' 0.00', ' 0.00', ' 0.76', ' 0.62', ' 0.00', ' 0.00', ' 0.21', ' 0.19', ' 0.47', ' 0.93', ' 0.00']
['emma_0.46.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.29', ' 0.00', ' 0.99', ' 0.00', ' 0.00', ' 0.75', ' 0.51', ' 0.00', ' 0.00', ' 0.43', ' 0.18', ' 0.42', ' 1.08', ' 0.00']
['emma_0.48.csv', ' 0.00', ' 0.00', ' 0.00', ' 0.69', ' 0.00', ' 0.63', ' 0.00', ' 0.00', ' 0.69', ' 0.72', ' 0.00', ' 0.00', ' 0.34', ' 0.31', ' 0.34', ' 0.94', ' 0.00']
